opcode,max_count,datatype
DHCP_OPT_NETMASK,1,IPV4
DHCP_OPT_TIMEOFFSET,1,INT32
DHCP_OPT_DOMAIN,1,STRING
DHCP_OPT_HOSTNAME,1,STRING
DHCP_OPT_NBTCPSCOPE,1,STRING
DHCP_OPT_MTUSIZE,1,INT16
DHCP_OPT_BROADCASTADDR,1,IPV4
DHCP_OPT_ROUTER,3,IPV4
DHCP_OPT_TIMESERVER,100,IPV4
DHCP_OPT_NAMESERVER,100,IPV4
DHCP_OPT_LOGSERV,100,IPV4
DHCP_OPT_DNS_SVRS,100,IPV4
DHCP_OPT_STATICROUTE,100,STATICRT
DHCP_OPT_SMTPSERVER,100,IPV4
DHCP_OPT_POP3SERVER,100,IPV4
121,100,STATICRT
